timestamp,fairBasis
2020-12-07 06:55:00.477681296+00:00,2.64
2020-12-07 06:56:00.506853877+00:00,2.63
2020-12-07 06:57:00.490858973+00:00,2.62
2020-12-07 06:58:00.479612598+00:00,2.61
2020-12-07 06:59:00.481004620+00:00,2.6
2020-12-07 07:00:05.485883514+00:00,2.59
2020-12-07 07:00:10.495353057+00:00,2.6
2020-12-07 07:01:00.492577252+00:00,2.59
2020-12-07 07:02:00.481501610+00:00,2.58
2020-12-07 07:03:00.487955268+00:00,2.57
2020-12-07 07:04:00.496958042+00:00,2.56
2020-12-07 07:05:00.489846799+00:00,2.55
2020-12-07 07:07:00.489164633+00:00,2.54
2020-12-07 07:08:00.479134742+00:00,2.53
2020-12-07 07:09:00.485459683+00:00,2.52
2020-12-07 07:10:00.474517791+00:00,2.51
2020-12-07 07:12:00.482023829+00:00,2.5
2020-12-07 07:13:00.470377256+00:00,2.49
2020-12-07 07:14:00.489768436+00:00,2.48
2020-12-07 07:15:00.461937916+00:00,2.47
2020-12-07 07:16:00.478994162+00:00,2.46
2020-12-07 07:17:00.479381411+00:00,2.45
2020-12-07 07:18:00.469827845+00:00,2.44
2020-12-07 07:19:00.474610556+00:00,2.43
2020-12-07 07:21:00.499919470+00:00,2.42
2020-12-07 07:22:00.497874175+00:00,2.41
2020-12-07 07:23:00.473549017+00:00,2.4
2020-12-07 07:24:00.474847175+00:00,2.39
2020-12-07 07:25:00.482672241+00:00,2.38
2020-12-07 07:26:00.469335495+00:00,2.37
2020-12-07 07:27:00.496084947+00:00,2.36
2020-12-07 07:29:00.479719879+00:00,2.35
2020-12-07 07:30:00.465229572+00:00,2.34
2020-12-07 07:31:00.469825692+00:00,2.33
2020-12-07 07:32:00.458786151+00:00,2.32
2020-12-07 07:33:00.479398196+00:00,2.31
2020-12-07 07:34:00.471627189+00:00,2.3
2020-12-07 07:35:00.497493010+00:00,2.29
2020-12-07 07:36:00.488071843+00:00,2.28
2020-12-07 07:38:00.477536077+00:00,2.27
2020-12-07 07:39:00.483773462+00:00,2.26
2020-12-07 07:40:00.462968547+00:00,2.25
2020-12-07 07:41:00.481832589+00:00,2.24
2020-12-07 07:42:00.476732874+00:00,2.23
2020-12-07 07:43:00.479029588+00:00,2.22
2020-12-07 07:43:35.479221952+00:00,2.23
2020-12-07 07:44:00.478342317+00:00,2.22
2020-12-07 07:45:00.487908350+00:00,2.21
